KO	FunC_1	FunC_2	FunC_3	FunC_4
K08683	1	0	1	0
K06177	1	1	1	1
K08086	1	0	1	1
K07304	1	1	1	1
K07305	1	1	1	1
K03455	1	1	1	1
K16090	1	1	1	1
K06566	1	1	1	0
K07336	1	1	1	1
K09915	1	0	1	1
K03546	1	1	1	1
K06198	1	0	1	0
K03282	1	1	1	1
K02005	1	1	1	1
K05685	1	1	1	1
K03088	1	1	1	1
K03981	1	1	1	1
K09774	1	1	1	1
K00573	1	1	1	1
K13276	1	1	1	1
K12979	1	1	1	0
K02169	1	1	1	1
K01434	1	1	1	1
K02913	1	1	1	1
K19340	1	1	1	1
K00721	1	1	1	1
K02902	1	1	1	1
K08963	1	1	1	1
K03581	1	0	1	1
K09810	1	1	1	1
K01889	1	1	1	1
K02887	1	1	1	1
K07220	1	1	1	1
K01993	1	1	1	1
K03630	1	1	1	1
K01520	1	1	1	1
K13038	1	1	1	1
K13243	1	0	1	1
K11381	1	1	1	1
K01768	1	1	1	1
K15539	1	1	1	1
K14445	1	1	1	1
K06872	1	1	1	1
K00471	1	0	1	1
K08884	1	1	1	1
K01710	1	1	1	1
K02523	1	1	1	1
K00946	1	1	1	1
K03327	1	1	1	1
K00287	1	1	1	1
K00560	1	1	1	1
K13590	1	1	1	1
K12994	1	1	1	1
K07814	1	0	1	1
K07483	1	1	1	1
K07484	1	1	1	1
K11997	1	1	1	1
K02316	1	1	1	1
K09117	1	1	1	1
K02372	1	1	1	1
K11749	1	1	1	1
K00626	1	1	1	1
K13926	1	1	1	1
K01754	1	1	1	1
K00826	1	1	1	1
K01652	1	1	1	1
K01649	1	1	1	1
K16137	1	1	1	1
K03529	1	1	1	1
K07039	1	0	1	1
K01142	1	1	1	1
K03284	1	1	1	1
K04090	1	0	1	0
K00154	1	1	1	1
K00666	1	1	1	1
K03802	1	1	1	1
K00873	1	1	1	1
K01623	1	0	1	0
K07062	1	1	1	1
K13703	1	1	1	1
K01810	1	1	1	1
K00274	1	1	1	1
K06217	1	1	1	1
K00833	1	1	1	1
K02456	1	0	1	1
K03932	1	1	1	1
K03719	1	1	1	1
K07107	1	1	1	1
K03551	1	1	1	1
K07264	1	1	1	1
K07391	1	1	1	1
K07402	1	1	1	1
K00570	1	1	1	1
K09125	1	1	1	1
K03568	1	0	1	1
