ID,time,undefined_genus_of_Enterobacteriaceae,Blautia,Barnesiella,undefined_genus_of_unclassified_Mollicutes,undefined_genus_of_Lachnospiraceae,Akkermansia,Clostridium_difficile,unclassified_Lachnospiraceae,Coprobacillus,Enterococcus,Other,growthvector_ones,Clindamycin_signal
1,0,2.35e-05,0.00086677,0.092745,0.0014446,0.21958,0.033082,0,0.032505,0.00014446,3.68e-05,0.11138,1,1
1,2,0.86914,4.01e-05,0.00016789,0.00033688,0.00011467,0.00019716,0,7.54e-05,0.00025308,0.0023581,0.0040425,1,0
1,3,0.41501,0.0072401,0.00012887,0.00051716,8.8e-05,0.051716,0,5.79e-05,0.0018101,0.0010343,0.0025858,1,0
1,4,5.0998,0.0047352,0.0023599,0.0045446,0.0016118,0.0094701,0,0.0010598,1.0891,0.15152,0.42617,1,0
1,5,0.42916,2.3947,0.00085549,0.0016475,0.00058431,0.50642,0,0.00038419,0.0017166,0.017166,0.090981,1,0
1,6,0.24018,2.6006,0.00068794,0.0013248,0.00046986,0.31196,0,0.00030906,0.001037,0.0013804,0.012423,1,0
1,7,0.14225,0.11887,0.00010693,0.022957,7.3e-05,0.28451,0,4.8e-05,0.00016119,0.003862,0.0025747,1,0
1,9,0.46902,0.10996,0.00012018,0.11623,8.21e-05,0.00014113,0,5.39e-05,0.00018116,0.00048228,0.010369,1,0
1,12,0.58179,0.1645,0.00018803,0.22487,0.00012842,0.00022081,0,8.44e-05,0.00028344,9.63e-05,0.0060367,1,0
1,16,0.0032515,0.004687,7.01e-06,0.019142,4.79e-06,8.24e-06,0,3.15e-06,1.06e-05,1.41e-05,0.0011964,1,0
1,23,0.015072,0.016507,1.63e-05,0.044009,1.11e-05,1.91e-05,0,7.3e-06,2.45e-05,3.26e-05,0.0031645,1,0
2,0,0,0.0065623,1.7504,0.011483,2.6576,0,0,0.65623,0.0082023,0,0.97446,1,0
2,2,0,0.011831,1.9062,0.0078875,1.2462,0,0,0.41541,0.027606,0,1.383,1,0
2,6,0,0.011938,1.8324,0.25517,1.8921,0,0,0.71474,0.019399,0,1.725,1,0
2,13,0,0.007335,1.5969,0.0010479,0.85085,0,0,0.66854,0.0041915,0,1.0248,1,0
3,0,1.96e-05,5.88e-05,0.0097622,0.00017625,0.0073633,2.94e-05,0,0.0035543,1.96e-05,2.49e-06,0.011583,1,1
3,2,4.6613,0.00079905,0.0010183,0.0010965,0.001143,0.00015848,0.00017064,0.00029453,0.00096095,0.00029079,0.012573,1,0
3,3,4.8786,0.0013559,0.001208,0.0013007,0.00074197,0.00018786,0.0040678,0.0054235,0.075931,0.0081357,0.0094916,1,0
3,4,0.059979,0.00031671,2.17e-05,4.87e-05,0.00012181,4.87e-05,0.023875,2.44e-05,0.003776,0.0015592,0.0018271,1,0
3,5,0.14475,0.0053817,4.13e-05,0.00018558,0.00018558,4.64e-05,0.023706,1.19e-05,0.0020878,0.0029692,0.0019022,1,0
3,6,0.26443,0.018012,0.00017071,0.0034491,0.00010486,0.00095807,0.081055,4.93e-05,0.0019161,0.013796,0.0059399,1,0
3,7,0.56522,0.04421,0.00018846,0.00020292,0.00011576,0.00021153,0.031941,5.45e-05,0.00017784,0.00084614,0.0006346,1,0
3,12,2.6249,0.31986,0.00091923,0.55097,0.0010318,0.00014287,0.070163,0.00026563,0.00086743,0.0072227,0.015477,1,0
3,16,4.3223,3.5921,0.0026339,1.1767,0.0016178,0.0004099,1.8389,0.00076139,0.0024855,0.011825,0.076868,1,0
3,23,3.0436,2.0311,0.0027007,4.4138,0.0016588,0.00042039,1.7067,0.00078056,0.0025486,0.036377,0.13036,1,0
4,0,4.59e-05,0.0004514,0.067426,0.00039497,0.086895,0.00056424,0,0.020934,0.0002257,1.98e-05,0.033064,1,1
4,2,0.67226,5.8e-05,0.00022153,8.34e-05,4.68e-05,5.99e-05,0,0.00014686,0.00011283,0.0023839,0.00023839,1,0
4,3,0.49195,0.0013808,0.0001833,0.00019725,3.88e-05,4.95e-05,0,0.00012152,9.34e-05,0.0011835,0.0021698,1,0
4,4,0.204,1.0803,0.00065826,0.00024791,0.00013926,0.00017785,0,0.00043639,0.0021251,0.0092087,0.078628,1,0
