group_fig2c	binID	GeneID	gene	KO	KO_Defintion	product	EC	FunC_ID
dgat	A01_O1.2.4	A01_O1.2.4_PROKKA_03556	wax-dgaT_2	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	O-acyltransferase WSD	2.3.1.20	3
dgat	A01_O1.2.4	A01_O1.2.4_PROKKA_51222	wax-dgaT_8	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	O-acyltransferase WSD	2.3.1.20	3
dgat	D04_G2.5	D04_G2.5_PROKKA_199635	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	1
dgat	D04_L6	D04_L6_PROKKA_144266	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D04_O2.19	D04_O2.19_PROKKA_92257	tgs2_2	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs2	2.3.1.20	1
dgat	D04_O2.19	D04_O2.19_PROKKA_104651	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3848	2.3.1.20	1
dgat	D04_O2.19	D04_O2.19_PROKKA_109598	tgs3_1	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs3	2.3.1.20	1
dgat	D04_O2.19	D04_O2.19_PROKKA_19779	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D04_O2.19	D04_O2.19_PROKKA_41810	tgs1_5	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D04_O2.19	D04_O2.19_PROKKA_65874	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT0231	2.3.1.20	1
dgat	D05_G3.14.1	D05_G3.14.1_PROKKA_187287	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT2557	2.3.1.20	1
dgat	D05_G3.4	D05_G3.4_PROKKA_103777	tgs1_5	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D05_L3.17	D05_L3.17_PROKKA_79503	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
dgat	D05_L3.17	D05_L3.17_PROKKA_118549	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
dgat	D05_L3.17	D05_L3.17_PROKKA_118550	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
dgat	D05_L3.17	D05_L3.17_PROKKA_178672	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3584	2.3.1.20	3
dgat	D05_L3.17	D05_L3.17_PROKKA_34129	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
dgat	D05_L3.17	D05_L3.17_PROKKA_34798	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
dgat	D09_G1.28	D09_G1.28_PROKKA_207154	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3584	2.3.1.20	1
dgat	D09_G1.28	D09_G1.28_PROKKA_56958	tgs3_1	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs3	2.3.1.20	1
dgat	D11_O1.27.3	D11_O1.27.3_PROKKA_124211	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
dgat	D11_O1.27.3	D11_O1.27.3_PROKKA_151860	tgs1_13	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	3
dgat	D11_O1.7	D11_O1.7_PROKKA_80400	tgs1_6	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D11_O1.7	D11_O1.7_PROKKA_108821	tgs1_7	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	1
dgat	D11_O1.7	D11_O1.7_PROKKA_180140	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	hypothetical protein	NA	1
dgat	D11_O1.7	D11_O1.7_PROKKA_216571	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	hypothetical protein	NA	1
dgat	D12_L1.3	D12_L1.3_PROKKA_07744	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1809	2.3.1.20	1
dgat	D12_L1.3	D12_L1.3_PROKKA_140730	tgs3_2	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs3	2.3.1.20	1
dgat	D15_G1.8	D15_G1.8_PROKKA_95902	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3584	2.3.1.20	3
dgat	D15_G1.8	D15_G1.8_PROKKA_97102	tgs1_2	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	putative diacyglycerol O-acyltransferase tgs1	2.3.1.20	3
dgat	D15_G1.8	D15_G1.8_PROKKA_142393	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT3848	2.3.1.20	3
dgat	D15_G1.8	D15_G1.8_PROKKA_145119	NA	K00635	diacylglycerol O-acyltransferase [EC:2.3.1.20]	Putative diacyglycerol O-acyltransferase/MT1468	2.3.1.20	3
